channel,key,rows,raw_examples,files,bucket,s2_channels,s2_title_examples
미스터블루(소설),타루폰카라얀,1,타루폰카라얀 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),태양천자,1,태양천자 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),팔황예조,1,팔황예조 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),혈무연,1,혈무연 [단행본],1,no_s2_key_any_channel,,
미스터블루(소설),혈안은구,1,혈안은구 [단행본],1,no_s2_key_any_channel,,
밀리의 서재,망한세상에서나혼자각성,6,망한 세상에서 나 혼자 각성,1,no_s2_key_any_channel,,
밀리의 서재,사이코패스살인마는살고싶다,8,사이코패스 살인마는 살고 싶다,1,no_s2_key_any_channel,,
부커스,용사무적,1,용사무적 5권,1,no_s2_key_any_channel,,
북큐브(소설),늙은경비에게조교당하는스튜어디스이야기,1,늙은 경비에게 조교당하는 스튜어디스 이야기,1,no_s2_key_any_channel,,
북큐브(소설),다따먹점혈법,1,다따먹점혈법,1,no_s2_key_any_channel,,
북큐브(소설),독식하는재벌세,49,독식하는 재벌 3세 10 | 독식하는 재벌 3세 11 | 독식하는 재벌 3세 12 | 독식하는 재벌 3세 13 | 독식하는 재벌 3세 14,1,no_s2_key_any_channel,,
북큐브(소설),야한규칙으로다따먹음,10,야한 규칙으로 다 따먹음 2 | 야한 규칙으로 다 따먹음 3 | 야한 규칙으로 다 따먹음 4 | 야한 규칙으로 다 따먹음 5 | 야한 규칙으로 다 따먹음 6,1,no_s2_key_any_channel,,
북큐브(소설),조금은야한우리회사,1,조금은 야한 우리 회사,1,no_s2_key_any_channel,,
북큐브(소설),플레이싱어느대공각하의장난감,1,플레이싱 (Plaything) : 어느 대공 각하의 장난감 1,1,no_s2_key_any_channel,,
북팔(소설),메소드로맨스증보판,1,메소드 로맨스 외전증보판,1,no_s2_key_any_channel,,
북팔(소설),야한규칙으로다따먹음,1,야한 규칙으로 다 따먹음,1,no_s2_key_any_channel,,
북팔(소설),조금은야한우리회사,1,조금은 야한 우리 회사,1,no_s2_key_any_channel,,
블라이스_일반결제,sm클럽암캐가된여자들,1,SM클럽 -암캐가 된 여자들-,1,no_s2_key_any_channel,,
블라이스_일반결제,늙은경비에게조교당하는스튜어디스의이야기,1,늙은 경비에게 조교당하는 스튜어디스의 이야기,1,no_s2_key_any_channel,,
블라이스_일반결제,다따먹점혈법,1,다따먹점혈법,1,no_s2_key_any_channel,,
블라이스_일반결제,야한규칙으로다따먹음,1,야한 규칙으로 다 따먹음,1,no_s2_key_any_channel,,
알라딘(소설)(1068659313),메소드로맨스웹툰출간기념수인메소드비스트로맨스,2,[BL] 메소드 로맨스 (개정판) 웹툰 출간 기념 수인 외전: 메소드 비스트 로맨스,1,no_s2_key_any_channel,,
알라딘(소설)(1068659313),야한규칙으로다따먹음,16,야한 규칙으로 다 따먹음 1 | 야한 규칙으로 다 따먹음 2 | 야한 규칙으로 다 따먹음 3 | 야한 규칙으로 다 따먹음 5 | 야한 규칙으로 다 따먹음 4,1,no_s2_key_any_channel,,
알라딘(소설)(1068659313),용사무적,6,용사무적 1 | 용사무적 2,1,no_s2_key_any_channel,,
에피루스 이북클럽(B2C),늙은경비에게조교당하는스튜어디스의이야기,37,늙은 경비에게 조교당하는 스튜어디스의 이야기 13화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 14화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 159화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 160화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 161화,1,no_s2_key_any_channel,,
에피루스 이북클럽(B2C),망한세상에서나혼자각성,2,망한 세상에서 나 혼자 각성 2 | 망한 세상에서 나 혼자 각성 3,1,no_s2_key_any_channel,,
에피루스 이북클럽(B2C),야한규칙으로다따먹음,2,야한 규칙으로 다 따먹음 6화 | 야한 규칙으로 다 따먹음 7화,1,no_s2_key_any_channel,,
올툰(소설),메소드로맨스증보판,1,[BL소설]메소드 로맨스 외전증보판,1,no_s2_key_any_channel,,
원스토어(소설),ex급만능사제가되었다,313,EX급 만능사제가 되었다,1,no_s2_key_any_channel,,
원스토어(소설),sm클럽암캐가된여자들,9,SM클럽 -암캐가 된 여자들-,1,no_s2_key_any_channel,,
원스토어(소설),고인물무림에가다,10,"고인물, 무림에 가다",1,no_s2_key_any_channel,,
원스토어(소설),나는작가다,4,[기한대]나는 작가다,1,no_s2_key_any_channel,,
원스토어(소설),누나와김병장,1,누나와 김병장,1,no_s2_key_any_channel,,
원스토어(소설),늙은경비에게조교당하는스튜어디스의이야기,24,늙은 경비에게 조교당하는 스튜어디스의 이야기,1,no_s2_key_any_channel,,
