파일,판매채널,플랫폼,정산서_원본행번호,정산서원본_source_row,정산서_콘텐츠명_표시,패치전_정제키,패치후_정제키,패치전_S2상태,패치후_S2상태,패치후_S2후보제목,패치후_S2후보ID
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10206,,파공검제 51화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10207,,파공검제 60화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10208,,파공검제 61화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10209,,파공검제 62화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10210,,파공검제 99화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10211,,파공검제 100화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10212,,파공검제 101화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10213,,파공검제 102화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10214,,파공검제 103화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10215,,파공검제 104화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10216,,파공검제 105화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10217,,파공검제 106화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10218,,파공검제 107화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10219,,파공검제 108화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10220,,파공검제 109화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10221,,파공검제 110화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10222,,파공검제 111화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10223,,파공검제 112화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10224,,파공검제 149화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10225,,파공검제 150화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10226,,파공검제 151화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10227,,파공검제 188화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10228,,파공검제 189화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10229,,파공검제 190화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10230,,파공검제 191화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10231,,파공검제 192화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10232,,파공검제 193화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10233,,파공검제 194화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10234,,파공검제 195화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10235,,파공검제 196화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10236,,파공검제 197화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10237,,파공검제 198화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10238,,파공검제 199화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10239,,파공검제 200화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10240,,파공검제 201화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10241,,파공검제 202화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10242,,파공검제 203화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
2026-02__리디북스(소설)__리디북스__2026년 2월 리디북스 정산상세.xlsx,리디북스(소설),리디북스,10243,,파공검제 204화,파공검,파공검제,no_match,matched,파공검제 | [연재]파공검제,865549 | 836762
