schema_version,platform,source_file,source_sheet,source_row_no,schema_status,row_status,title_present,author_present,sale_type,external_work_id,gross_sales_amount,settlement_base_amount_candidate_calc,settlement_amount_candidate_payout,offset_payment_fee_amount,offset_event_fee_amount,used_coin_count,cancel_coin_count,amount_rule_status,match_status,s2_projection_status,validation_issues
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,99,parsed,data,True,True,소설,,2700,2700,1890,0,0,27,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,100,parsed,data,True,True,소설,,8000,8000,5600,0,0,80,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,101,parsed,data,True,True,소설,,900,900,630,0,0,9,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,102,parsed,data,True,True,소설,,12500,12500,8750,0,0,125,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,103,parsed,data,True,True,소설,,15000,15000,10500,0,0,150,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,104,parsed,data,True,True,소설,,16300,16300,11410,0,0,163,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,105,parsed,data,True,True,소설,,900,900,630,0,0,9,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,106,parsed,data,True,True,소설,,3000,3000,2100,0,0,30,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,107,parsed,data,True,True,소설,,6000,6000,4200,0,0,60,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,108,parsed,data,True,True,소설,,3000,3000,2100,0,0,30,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,109,parsed,data,True,True,소설,,21000,21000,14700,0,0,210,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,110,parsed,data,True,True,소설,,6000,6000,4200,0,0,60,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,111,parsed,data,True,True,소설,,6000,6000,4200,0,0,60,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,112,parsed,data,True,True,소설,,2700,2700,1890,0,0,27,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,113,parsed,data,True,True,소설,,7200,7200,5040,0,0,72,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,114,parsed,data,True,True,소설,,5400,5400,3780,0,0,54,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,115,parsed,data,True,True,소설,,9900,9900,6930,0,0,99,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,116,parsed,data,True,True,소설,,14400,14400,10080,0,0,144,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,117,parsed,data,True,True,소설,,6300,6300,4410,0,0,63,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,118,parsed,data,True,True,소설,,8100,8100,5670,0,0,81,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
