판매채널콘텐츠ID,콘텐츠ID,콘텐츠명,정제_콘텐츠명,판매채널ID,판매채널명,그룹콘텐츠ID,그룹콘텐츠명,플랫폼콘텐츠ID,콘텐츠형태,콘텐츠상태,최초연재일,담당자,담당부서,정산시작여부,제외사유
130757,129394,돌아보지 못하고,돌아보지못하고,1,봄툰KR(1068149784),472301,돌아보지못하고,11777,소설,완결,2017-09-29,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
130762,129399,죽음 숲의 클레어,죽음숲의클레어,1,봄툰KR(1068149784),472306,죽음숲의클레어,12620,소설,완결,2020-01-13,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
130795,129431,프리 케미컬 로맨스,프리케미컬로맨스,1,봄툰KR(1068149784),472333,프리케미컬로맨스,17525,소설,완결,2021-03-22,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
130805,129441,섹스 앤 더 식스,섹스앤더식스,1,봄툰KR(1068149784),472342,섹스앤더식스,18236,소설,완결,2021-05-07,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
130817,129453,드렁크-탱크-핑크(DRUNK-TANK-PINK),드렁크탱크핑크,1,봄툰KR(1068149784),472353,드렁크-탱크-핑크(DRUNK-TANK-PINK),20021,소설,완결,2021-09-23,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
130848,129483,손쉽게 소드마스터가 되는 방법,손쉽게소드마스터가되는방법,1,봄툰KR(1068149784),472379,손쉽게소드마스터가되는방법,24342,소설,완결,2022-09-02,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
130867,129502,헤어날 수 없는,헤어날수없는,1,봄툰KR(1068149784),472394,헤어날수없는,27319,소설,완결,2023-03-22,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
131087,129712,긴 밤의 끝,긴밤의끝,1,봄툰KR(1068149784),472535,긴밤의끝,14195,소설,완결,2020-06-25,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
131103,129726,당신과 나의 중화반응,당신과나의중화반응,1,봄툰KR(1068149784),472548,당신과나의중화반응,17253,소설,완결,2021-03-04,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
131138,129760,흑막이 돈 좀 막 쓰라고 요구했다,흑막이돈좀막쓰라고요구했다,1,봄툰KR(1068149784),472581,흑막이돈좀막쓰라고요구했다,21493,소설,완결,2022-01-14,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
131248,129866,여왕벌은 왕좌에 앉아 웃었다,여왕벌은왕좌에앉아웃었다,1,봄툰KR(1068149784),464446,케이더블유북스,36279,소설,완결,2024-06-21,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
